Nome,Latitude,Longitude,Altitude,Informação extra,Lote
A-7 - Saída 292,36.763188,-3.887975,118,,1500
A-7 - Saída 295,36.762579,-3.853569,138,,1500
A-7 - Saída 305,36.752072,-3.751308,129,,1500
A-7 - Saída 314,36.757942,-3.660788,167,,1500
A-7 - Saída 322,36.773751,-3.57678,94,,1500
A-7 - Saída 342,36.719364,-3.433188,160,,1500
A-7 - Saída 354,36.746138,-3.355915,138,,1900
A-7 - Saída 359,36.750265,-3.313705,114,,1900
A-7 - Saída 373,36.753473,-3.169672,44,,1900
A-7 - Saída 375,36.752796,-3.151263,114,,1900
A-7 - Saída 384,36.749332,-3.054844,41,,1900
A-7 - Saída 389,36.758707,-3.000116,29,,1900
A-7 - Saída 391,36.766646,-2.98663,69,,1900
A-7 - Saída 398,36.756806,-2.916112,78,,1900
A-7 - Saída 400,36.753921,-2.893267,73,,1900
A-7 - Saída 403,36.761978,-2.862215,93,,1900
A-7 - Saída 404,36.767356,-2.845779,119,,1900
A-7 - Saída 406,36.767248,-2.830045,87,,1900
A-7 - Saída 409,36.757233,-2.805028,54,,1900
A-7 - Saída 411,36.771665,-2.778828,31,,1900
A-7 - Saída 414,36.783701,-2.750404,75,,1900
A-7 - Saída 420,36.795162,-2.686101,164,,1900
A-7 - Saída 424,36.813408,-2.651589,169,,1900
A-7 - Saída 431,36.826573,-2.582638,145,,1900
A-7 - Saída 438,36.831385,-2.503269,120,,1900
A-7 - Saída 443,36.853755,-2.473843,93,,1900
A-7 - Saída 446,36.872814,-2.461168,178,,1900
A-7 - Saída 448,36.892826,-2.445209,118,,1900
A-7 - Saída 456,36.884484,-2.376515,138,,1900
A-7 - Saída 460,36.873833,-2.336202,92,,1900
A-7 - Saída 467,36.864801,-2.267352,110,,1900
A-7 - Saída 471,36.869551,-2.230662,94,,1900
