Name,Parish,Concelho
Cacela Velha,Vila Nova de Cacela,Vila Real de Santo António
Cachopo,Cachopo,Tavira
Cais da Mesquita,Espírito Santo,Mértola
Cais da Praia do Barril,Santa Luzia,Tavira
Cais Palafítico da Carrasqueira,Comporta,Alcácer do Sal
Caldas de Monchique,Monchique,Monchique
"Campo de Madalena, Viseu",Campo,Viseu
Canal Caveira,Grândola,Grândola
Carrapateira,Bordeira,Aljezur
Carvalhal,Carvalhal,Grândola
Carvoeiro,Carvoeiro,Lagoa
"Casa Branca, Alcoutim",Alcoutim,Alcoutim
"Casa Branca, Castro Marim",Odeleite,Castro Marim
Cascata do Pego do Inferno,Santo Estêvão,Tavira
Cascata do Pulo do Lobo - Margem Direita,Mértola,Mértola
Cascata do Pulo do Lobo - Margem Esquerda,Santa Maria,Serpa
Casinhas,Castro Marim,Castro Marim
Castelo de Paderne,Paderne,Albufeira
Castro de Alferce,Alferce,Monchique
Castro Marim,Castro Marim,Castro Marim
Castro Marim Golfe & Country Club,Castro Marim,Castro Marim
Castro Verde,Castro Verde,Castro Verde
Cercado,Alcoutim,Alcoutim
Cercal do Alentejo,Cercal do Alentejo,Santiago do Cacém
Cerro,Alcoutim,Alcoutim
Cerro do Enho,Castro Marim,Castro Marim
Choça Queimada,Odeleite,Castro Marim
Coito,Pereiro,Alcoutim
Colos,Colos,Odemira
Comporta,Comporta,Alcácer do Sal
"Conceição, Faro",Conceição,Faro
"Conceição, Tavira",Conceição,Tavira
Corte da Seda,Alcoutim,Alcoutim
Corte das Donas,Alcoutim,Alcoutim
Corte do Gago,Azinhal,Castro Marim
Corte João Marques,Ameixal,Loulé
Corte Nova,Odeleite,Castro Marim
Corte Tabelião,Alcoutim,Alcoutim
Corte Velha,Odeleite,Castro Marim
Cortes Pereiras,Alcoutim,Alcoutim
Cruz de João Mendes,São Francisco da Serra,Santiago do Cacém
Cruzamento da A1 com a A9 CREL,Alverca do Ribatejo,Vila Franca de Xira
Cruzamento da A1 com a A10,Carregado,Alenquer
Cruzamento da A1 com a A12 e a IC17 CRIL,Prior Velho,Loures
Cruzamento da A1 com a A13-1,Sebal,Condeixa-a-Nova
Cruzamento da A1 com a A14,Vil de Matos,Coimbra
Cruzamento da A1 com a A15,Várzea,Santarém
Cruzamento da A1 com a A20,Pedroso,Vila Nova de Gaia
Cruzamento da A1 com a A23,Bugalhos,Alcanena
Cruzamento da A1 com a A25,Albergaria-a-Velha,Albergaria-a-Velha
Cruzamento da A1 com a A29,Vilar de Andorinho,Vila Nova de Gaia
Cruzamento da A1 com a A41 CREP,Nogueira da Regedoura,Santa Maria da Feira
Cruzamento da A1 com a A44,Vilar do Paraíso,Vila Nova de Gaia
Cruzamento da A2 com a A6 e a A13,Landeira,Vendas Novas
Cruzamento da A2 com a A12,Palmela,Palmela
Cruzamento da A2 com a A22,Paderne,Albufeira
Cruzamento da A2 com a A26,Azinheira dos Barros e São Mamede do Sádão,Grândola
Cruzamento da A3 com a A4,Pedrouços,Maia
Cruzamento da A3 com a A7,Cabeçudos,Vila Nova de Famalicão
Cruzamento da A3 com a A11,Sequeira,Braga
Cruzamento da A3 com a A27,Refóios do Lima,Ponte de Lima
Cruzamento da A3 com a A41 CREP,São Pedro Fins,Maia
Cruzamento da A4 com a A28,Matosinhos,Matosinhos
Cruzamento da A4 com a VRI,Custóias,Matosinhos
Cruzamento da A5 com a A9 CREL,Queijas,Oeiras
Cruzamento da A9 CREL com o IC19,Barcarena,Oeiras
Cruzamento da A10 com a A13,Benavente,Benavente
Cruzamento da A12 com a A33,Montijo,Montijo
Cruzamento da A13 com a A23,Atalaia,Vila Nova da Barquinha
Cruzamento da A14 com a A17,Maiorca,Figueira da Foz
Cruzamento da A16 com a A5,Alcabideche,Cascais
Cruzamento da A16 com a A9 CREL,Belas,Sintra
Cruzamento da A16 com o IC19,São Pedro de Penaferrim,Sintra
Cruzamento da A17 com a A25,Eixo,Aveiro
Cruzamento da A20 com a A28,Ramalde,Porto
Cruzamento da A20 com a A29,Vilar de Andorinho,Vila Nova de Gaia
Cruzamento da A20 com a A32,Pedroso,Vila Nova de Gaia
Cruzamento da A20 com a A43,Campanhã,Porto
Cruzamento da A20 com a A44,Oliveira do Douro,Vila Nova de Gaia
Cruzamento da A23 com a A25,Arrifana,Guarda
Cruzamento da A24 com a A25 e o IP3,São Cipriano,Viseu
Cruzamento da A25 com a A29,Angeja,Albergaria-a-Velha
Cruzamento da A26 com a A26-1,Sines,Sines
Cruzamento da A28 com a A41,Perafita,Matosinhos
Cruzamento da IC17 CRIL com o IC19,Benfica,Lisboa
Cruzamento da IC17 CRIL com o IC22,Olival Basto,Odivelas
Cruzamento da M509 com a M512,Azinhal,Castro Marim
Cruzamento da M524 com a M525,Tôr,Loulé
Cruzamento da M544 com a N261,Santo André,Santiago do Cacém
Cruzamento da N5 com a N262,Torrão,Alcácer do Sal
Cruzamento da N120 com a N120-1,Cercal do Alentejo,Santiago do Cacém
Cruzamento da N120 com a N121,Santiago do Cacém,Santiago do Cacém
Cruzamento da N120 com a N125,São Sebastião,Lagos
Cruzamento da N120 com a N268,Aljezur,Aljezur
Cruzamento da N122 com a M507,Pereiro,Alcoutim
Cruzamento da N122 com a M507-2,Alcoutim,Alcoutim
Cruzamento da N122 com a M512,Azinhal,Castro Marim
Cruzamento da N122 com a M1059,Alcoutim,Alcoutim
Cruzamento da N122 com a M1060,Odeleite,Castro Marim
Cruzamento da N122 com a M1063,Odeleite,Castro Marim
Cruzamento da N122 com a N123,Mértola,Mértola
Cruzamento da N122 com a N267,Mértola,Mértola
Cruzamento da N123 com a N263,Santa Maria,Odemira
Cruzamento da N123-1 com a N263,Santa Luzia,Ourique
Cruzamento da N124 com a M507-1,Giões,Alcoutim
Cruzamento da N124 com a N125,Portimão,Portimão
Cruzamento da N124 com a N266,Portimão,Portimão
Cruzamento da N124 com a N270,São Bartolomeu de Messines,Silves
Cruzamento da N124 com a N396,Querença,Loulé
Cruzamento da N124-1 com a N125,Lagoa,Lagoa
Cruzamento da N125 com a M516-2,Moncarapacho,Olhão
Cruzamento da N125 com a M526,Boliqueime,Loulé
Cruzamento da N125 com a M531-1,Alvor,Portimão
Cruzamento da N125 com a M535,Budens,Vila do Bispo
Cruzamento da N125 com a M537-2,Budens,Vila do Bispo
Cruzamento da N125 com a M1347,Santiago,Tavira
Cruzamento da N125 com a N125-6,Castro Marim,Castro Marim
Cruzamento da N125 com a N269,Ferreiras,Albufeira
Cruzamento da N125 com a N395,Ferreiras,Albufeira
Cruzamento da N125 com a N396,São Clemente,Loulé
Cruzamento da N125 com a N398,Quelfes,Olhão
Cruzamento da N125-4 com a M521,São Clemente,Loulé
Cruzamento da N265 com a N392,Salvador,Serpa
Cruzamento da N266 com a N267 Oeste,Monchique,Monchique
Cruzamento da N269 com a N269-2,Tunes,Silves
Cruzamento do Eixo Norte-Sul com a Segunda Circular,Lumiar,Lisboa
Cruzamento do IC1 com o IP8,Grândola,Grândola
Cruzamento do IC4 com a M520,São Pedro,Faro
