Location A,Location B,Means of transport,Distance,Way,Cardinal point,Order A,Order B
A-1 - Saída 24,A-1 - Saída 26,Car,1.1,A-1,N,2,1
A-1 - Saída 26,A-1 - Saída 28,Car,2.8,A-1,N,2,1
A-1 - Saída 28,A-1 - Saída 29,Car,1.2,A-1,N,2,1
A-1 - Saída 29,A-1 - Saída 30,Car,1.0,A-1,N,2,1
A-1 - Saída 30,A-1 - Saída 34,Car,3.3,A-1,NW,2,1
A-1 - Saída 34,A-1 - Saída 36,Car,2.1,A-1,NE,2,1
A-1 - Saída 36,A-1 - Saída 38,Car,2.3,A-1,NE,2,1
A-1 - Saída 38,A-1 - Saída 41,Car,1.5,A-1,NE,2,1
A-1 - Saída 41,A-1 - Saída 45,Car,4.7,A-1,N,2,1
A-1 - Saída 45,A-1 - Saída 47,Car,2.7,A-1,NW,2,1
A-1 - Saída 47,A-1 - Saída 49,Car,2.1,A-1,NW,2,1
A-1 - Saída 49,A-1 - Saída 50,Car,1.0,A-1,N,2,1
A-1 - Saída 50,A-1 - Saída 55,Car,6.1,A-1,N,2,1
A-1 - Saída 55,A-1 - Saída 57,Car,1.1,A-1,NE,2,1
A-1 - Saída 57,A-1 - Saída 60,Car,2.8,A-1,NE,2,1
A-1 - Saída 60,A-1 - Saída 65,Car,3.9,A-1,N,2,1
A-1 - Saída 65,A-1 - Saída 66,Car,1.4,A-1,N,2,1
A-1 - Saída 66,A-1 - Saída 67,Car,1.0,A-1,NW,2,1
A-1 - Saída 67,A-1 - Saída 68,Car,1.4,A-1,NW,2,1
A-1 - Saída 68,A-1 - Saída 69,Car,0.8,A-1,NW,2,1
A-1 - Saída 69,A-1 - Saída 72,Car,2.5,A-1,N,2,1
A-1 - Saída 72,A-1 - Saída 74,Car,2.1,A-1,N,2,1
A-1 - Saída 74,A-1 - Saída 75,Car,2.1,A-1,N,2,1
A-1 - Saída 75,A-1 - Saída 76,Car,0.2,A-1,NE,2,1
A-1 - Saída 76,A-1 - Saída 79,Car,3.5,A-1,NE,2,1
A-1 - Saída 79,A-1 - Saída 83,Car,4.0,A-1,N,2,1
A-1 - Saída 83,A-1 - Saída 85,Car,2.2,A-1,NE,2,1
